Alba Se,ABA.F,14-Nov-2013,U,N/A,Add
Allgeier Holding AG,AEI.F,14-Nov-2013,U,N/A,Add
Ambient Corp,AMBT,14-Nov-2013,U,N/A,Add
Birks Group Inc,BGI,14-Nov-2013,U,N/A,Add
Bovie Medical Corp,BVX,14-Nov-2013,U,N/A,Add
CCR Logistics Systems AG,CCR.F,14-Nov-2013,U,N/A,Add
Carphone Warehouse Group PLC,CPW.L,14-Nov-2013,U,N/A,Add
Charles Stanley Group PLC,CAY.L,14-Nov-2013,U,N/A,Add
Constellium NV,CSTM,14-Nov-2013,U,N/A,Add
Corgenix Medical Corp,CONX,14-Nov-2013,U,N/A,Add
Dynatronics Corp,DYNT,14-Nov-2013,U,N/A,Add
Electrocomponents PLC,ECM.L,14-Nov-2013,U,N/A,Add
Emerge Energy Services LP,EMES,14-Nov-2013,U,0.61,Add
Euromoney Institutional Investor PLC,ERM.L,14-Nov-2013,U,N/A,Add
GELSENWASSER AG,WWG.F,14-Nov-2013,U,N/A,Add
HKN Inc,HKNI,14-Nov-2013,U,N/A,Add
Horizonte Minerals PLC,HZM.L,14-Nov-2013,U,N/A,Add
IKB Deutsche Industriebank AG,IKB.F,14-Nov-2013,U,N/A,Add
Intelligent Systems Corp,INS,14-Nov-2013,U,N/A,Add
Investors Capital Holdings Ltd,ICH,14-Nov-2013,U,N/A,Add
James Hardie Industries PLC,JHX,14-Nov-2013,U,0.53,Add
Knightsbridge Tankers Ltd,VLCCF,14-Nov-2013,U,0.06,Add
